Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Turks and Caicos Islands,4,203210000,"SWN CARC,FZ",0,0,3,3,12,28,60,80,62,91,47,US,TK,203210000,
Turks and Caicos Islands,5,203221000,"HM,SH,PRC,FZ",11,10,7,17,38,3,48,28,41,13,-68,US,TK,203221000,
Micronesia,1,203229000,"HM/SH,X PRC,FRZ",460,337,406,322,517,625,892,871,865,696,-20,US,FM,203229000,
Micronesia,2,203292000,"SWN MT,NE,PRC,FZ",123,219,306,306,425,425,559,393,501,499,,US,FM,203292000,
Micronesia,3,203294000,"SWN MT, FRZ",137,79,61,44,38,55,87,161,173,359,107,US,FM,203294000,
Micronesia,4,203221000,"HM,SH,PRC,FZ",0,181,234,216,181,296,389,266,325,354,9,US,FM,203221000,
Micronesia,5,203210000,"SWN CARC,FZ",0,0,0,0,0,0,0,0,0,22,,US,FM,203210000,
Barbados,1,203294000,"SWN MT, FRZ",507,967,842,517,608,510,734,"1,006","1,008","1,138",13,US,BB,203294000,
Barbados,2,203292000,"SWN MT,NE,PRC,FZ",104,88,127,251,347,102,204,711,171,276,61,US,BB,203292000,
Barbados,3,203229000,"HM/SH,X PRC,FRZ",862,138,168,149,75,34,105,123,69,147,113,US,BB,203229000,
Barbados,4,203221000,"HM,SH,PRC,FZ",13,22,4,15,18,0,44,21,25,82,230,US,BB,203221000,
Barbados,5,203210000,"SWN CARC,FZ",0,3,9,5,3,5,19,27,22,27,24,US,BB,203210000,
Belize,1,203292000,"SWN MT,NE,PRC,FZ",87,140,196,339,434,277,928,336,308,586,90,US,BH,203292000,
Belize,2,203221000,"HM,SH,PRC,FZ",17,71,264,244,329,308,24,451,725,511,-30,US,BH,203221000,
Belize,3,203229000,"HM/SH,X PRC,FRZ",16,46,0,0,0,0,104,345,488,376,-23,US,BH,203229000,
Belize,4,203294000,"SWN MT, FRZ",0,78,82,116,106,111,82,124,79,85,7,US,BH,203294000,
Belize,5,203210000,"SWN CARC,FZ",0,0,0,0,4,3,0,0,0,0,,US,BH,203210000,
Guyana,1,203294000,"SWN MT, FRZ",24,7,11,189,211,55,248,261,"1,041","1,000",-4,US,GY,203294000,
Guyana,2,203292000,"SWN MT,NE,PRC,FZ",0,16,13,6,40,122,71,282,295,365,23,US,GY,203292000,
Guyana,3,203221000,"HM,SH,PRC,FZ",0,7,3,0,6,0,16,0,10,41,308,US,GY,203221000,
Guyana,4,203229000,"HM/SH,X PRC,FRZ",0,17,0,0,12,31,13,16,60,38,-37,US,GY,203229000,
